lineup_id,contest_id,contest_name,entry_fee,total_salary,projected_points,position,player_name,team,salary,projection
14940164_1,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,QB,Patrick Mahomes,KC,35,23.0
14940164_1,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,RB,Christian McCaffrey,SF,38,30.4
14940164_1,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,WR,Tyreek Hill,MIA,32,22.4
14940164_1,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,TE,Travis Kelce,KC,28,23.9
14940164_1,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,K,Justin Tucker,BAL,15,9.7
14940164_1,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,DEF,San Francisco 49ers,SF,18,12.6
14940164_2,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,QB,Patrick Mahomes,KC,35,23.0
14940164_2,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,RB,Christian McCaffrey,SF,38,30.4
14940164_2,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,WR,Tyreek Hill,MIA,32,22.4
14940164_2,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,TE,Travis Kelce,KC,28,23.9
14940164_2,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,K,Justin Tucker,BAL,15,9.7
14940164_2,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,DEF,San Francisco 49ers,SF,18,12.6
14940164_3,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,QB,Patrick Mahomes,KC,35,23.0
14940164_3,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,RB,Christian McCaffrey,SF,38,30.4
14940164_3,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,WR,Tyreek Hill,MIA,32,22.4
14940164_3,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,TE,Travis Kelce,KC,28,23.9
14940164_3,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,K,Justin Tucker,BAL,15,9.7
14940164_3,14940164,NFL $100 Guaranteed [No Veterans],1.0,166,121.99999999999999,DEF,San Francisco 49ers,SF,18,12.6
